ticker,group,ann_return,ann_vol,sharpe,sortino,max_dd,beta,alpha,n_obs
ADBE,AI_platforms,-0.13419044138409963,0.3590463909618632,-0.4640271290011086,-0.41943810370892215,-0.6726324393829042,1.257262493928751,-0.3092117069407333,1346
IBM,AI_platforms,0.15565030609697275,0.2559743880687431,0.4814889042547514,0.4445158081374437,-0.3096307140816895,0.6277559943170344,0.0520344926015946,1346
SNOW,AI_platforms,-0.11472831400706555,0.5904759376179572,-0.24919234504723667,-0.24247719130716688,-0.7298763502408512,1.787073226773775,-0.34984645689385946,1346
AAPL,Broad_tech,0.16167972293020277,0.27561089211924594,0.4690494528715343,0.4665357141643944,-0.33360508095929187,1.2203231658577907,-0.009151483554168957,1346
CSCO,Broad_tech,0.20901517719417312,0.24241093157349006,0.728580401280959,0.7016592302105444,-0.36675042410987124,0.8376713740385755,0.08158848550631859,1346
INTC,Broad_tech,0.1775763715046697,0.5039175847631537,0.2880851885645911,0.29884828795205953,-0.7079731439555655,1.4864394883766867,-0.023440633413969653,1346
TXN,Broad_tech,0.14890622902403622,0.31869902963406255,0.36554823080835835,0.3770585620921922,-0.334119734774183,1.2220939517657596,-0.022125839196219476,1346
QCOM,Broad_tech,0.07717879535237286,0.3947443330300412,0.11341977676636102,0.11118131395593023,-0.44288424395904513,1.5568294897566566,-0.13182260666499274,1346
INTU,Broad_tech,0.010085399563852748,0.35535361421206146,-0.06282120861245616,-0.06038216965078209,-0.5623956372607668,1.338914657786472,-0.17419773965990984,1346
ACN,Broad_tech,-0.06871044760165228,0.2773921298635039,-0.3645142068826472,-0.34309221269357754,-0.5917104335792718,0.9897479122840536,-0.2133873090145647,1346
PANW,Broad_tech,0.2625307027209275,0.41116330710347687,0.5596908672120241,0.5330555432390258,-0.36005964836825155,1.1854237372037488,0.09565816780112019,1346
CDNS,Broad_tech,0.1788200435349821,0.35878050872439443,0.40809311321583375,0.4085954911588633,-0.2958518066996001,1.4257025688730482,-0.015307521486467206,1346
ADSK,Broad_tech,-0.04464680114086528,0.34914906597150563,-0.22071981590311687,-0.20876293632934576,-0.5199403896552834,1.354085519179108,-0.2306507839406164,1346
KO,Defensive,0.10842990057193655,0.1598213483608441,0.4756162832380036,0.466959471791122,-0.17274744151288113,0.3050945483681163,0.041413846451452685,1346
PEP,Defensive,0.03616100622232054,0.1817801113582504,0.020636843574374016,0.020344594480971596,-0.30322682782497956,0.3199509484850899,-0.032540221866994,1346
PG,Defensive,0.03267824671985903,0.17605891705150198,0.0015297130247300718,0.001429853686700793,-0.23772451733783884,0.31162853516271843,-0.03507896302192278,1346
WMT,Defensive,0.20024698314868675,0.21257238486538516,0.7897580809324612,0.7508692446622305,-0.2573966411679429,0.4446540293771609,0.11740057964017962,1346
JNJ,Defensive,0.10031978465872009,0.16736626281405478,0.4057300593781398,0.4089339373251461,-0.184116853145887,0.20956075545046748,0.04414020907280054,1346
MRK,Defensive,0.10298260475948648,0.23236995865627819,0.3036900218026885,0.29420837622247165,-0.43443406748408897,0.2927917396304689,0.03736206858850238,1346
MCD,Defensive,0.07268944128562338,0.17184896678034536,0.23436604751045625,0.23266658262395212,-0.19036537556562672,0.3999348820604505,-0.005084431705862608,1346
COST,Defensive,0.19953196652162059,0.22426829183880742,0.7452235519670443,0.7113845708354746,-0.31402426232287217,0.7297428830744945,0.08434769439946208,1346
CL,Defensive,0.03409920501179733,0.1833196277995281,0.009221449277321003,0.008788183263515745,-0.29045847111002054,0.23702529749876924,-0.025195696693588763,1346
GIS,Defensive,-0.07003949575524529,0.21141108734904362,-0.48446769596621553,-0.4577740509927616,-0.584302825656611,0.1097231594418043,-0.11489440879978559,1346
