n,r2,alpha_daily,alpha_annual,alpha_se_hac,alpha_p_hac,MKT_RF_coef,MKT_RF_se_hac,MKT_RF_p_hac,ticker,group,unit,model,SMB_coef,SMB_se_hac,SMB_p_hac,HML_coef,HML_se_hac,HML_p_hac,MOM_coef,MOM_se_hac,MOM_p_hac
1315,0.42643249693796803,-0.00044584587745157803,-0.11235316111779767,0.00045133411499663994,0.32323103010665677,1.0945175423846212,0.05719142549402851,1.2234858061897434e-81,CRM,AI_platforms,stock,Carhart4,-0.009423993961943856,0.0751500518401358,0.900205018727377,-0.4641693677802662,0.04988050778935293,1.3320487409784506e-20,-0.24539804199672408,0.0515645980944826,1.9451482209700922e-06
1315,0.3981273859158547,-0.0006932358656205936,-0.17469543813638957,0.00052271646069282,0.18476757061175586,1.4671152421814586,0.05123461385778399,2.448096236053465e-180,NOW,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.485505152666178,-0.00028958142424977313,-0.07297451891094282,0.00047845016821909794,0.5450136480231784,1.2081363046471671,0.05351567913196898,7.567227015681782e-113,NOW,AI_platforms,stock,FF3,0.032134371861964,0.08837858040557721,0.7161574025990555,-0.863209389634823,0.06100497169316626,1.8723499704158175e-45,,,
1315,0.49071255717148343,-0.0002588665746062795,-0.06523437680078244,0.0004741713005490292,0.585110813318706,1.202449711364061,0.05432214823927547,1.4380251659906268e-108,NOW,AI_platforms,stock,Carhart4,-0.015523985027504338,0.0900019867466039,0.8630563197704694,-0.8512679345426264,0.06351339979129451,5.809427780481597e-41,-0.17585311083750702,0.0675019499389701,0.009183243372650168
1315,0.3644854515976701,-0.0011222681726650251,-0.2828115795115863,0.0005108066596487972,0.028016819398738877,1.2277660587661205,0.06063016308283832,3.546153571314523e-91,ADBE,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.4187590667825676,-0.0009130283156242995,-0.23008313553732346,0.0004924211496140977,0.06371606462147904,1.1065332483661496,0.06375283721931367,1.75796512537237e-67,ADBE,AI_platforms,stock,FF3,-0.19772698770611333,0.08205440551558098,0.015965383129708046,-0.570454414300986,0.06248851316017862,6.916785798744324e-20,,,
1315,0.43000420015431895,-0.0008735514772967051,-0.22013497227876969,0.00048464980685885076,0.07147644040207118,1.099224447369982,0.06467025767612317,8.588433120078752e-65,ADBE,AI_platforms,stock,Carhart4,-0.2589807874712968,0.08415751362758016,0.0020886105374456586,-0.555106434495077,0.06479712919650327,1.0636642233571666e-17,-0.22601851894112782,0.05475713743375212,3.664829449264416e-05
1315,0.16929827329313152,0.0003512993328432599,0.0885274318765015,0.00039840626066814426,0.3779057536438054,0.5910991132010243,0.03952126559493637,1.4129986920608264e-50,IBM,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.21452635710208345,0.00015651590527567872,0.03944200812947104,0.0003957713548168826,0.6924956705243557,0.7198728089811675,0.0428916598510692,3.2218906377882154e-63,IBM,AI_platforms,stock,FF3,-0.07816883159452964,0.05837310444292905,0.18053027243173758,0.3805905795205205,0.04731556939960939,8.719082307530334e-16,,,
1315,0.21517386497309487,0.0001632076767761937,0.04112833454760081,0.00039454304263398686,0.67912126545286,0.7186338843792669,0.04248305913321238,3.442560143882111e-64,IBM,AI_platforms,stock,Carhart4,-0.08855204486422424,0.059560550185307516,0.1370790910859065,0.3831922360413344,0.04749900185851525,7.182597836494171e-16,-0.03831270050286922,0.037567839119588005,0.30781046719162874
1315,0.3096108504981684,-0.001301207993034947,-0.32790441424480665,0.0008003630085328243,0.1039981073571424,1.8573835703384278,0.09366387188072339,1.6303347052888238e-87,SNOW,AI_platforms,stock,CAPM,,,,,,,,,
1315,0.4015805516696985,-0.0005872025763939842,-0.14797504925128402,0.0007409371784781566,0.4280614335762858,1.3625305967286838,0.08817657108744342,7.280168533416121e-54,SNOW,AI_platforms,stock,FF3,0.6624264944838877,0.10767793430729544,7.654844340424086e-10,-1.1794502892371297,0.10436549878433882,1.2950891069445456e-29,,,
1315,0.4076178876843296,-0.0005397236684998448,-0.13601036446196088,0.0007369085920482055,0.4639146750983454,1.3537402805834435,0.0907600682359096,2.609468165697331e-50,SNOW,AI_platforms,stock,Carhart4,0.5887563719404589,0.10863492465639549,5.973703886936148e-08,-1.1609912294330065,0.10544251416911433,3.395232778087497e-28,-0.27183312792525394,0.08491275974457861,0.0013679833102497293
1315,0.5459789530184548,-3.7529473933439964e-05,-0.009457427431226871,0.00034817363981133105,0.9141626462072836,1.160453811430741,0.04445622381887161,3.3451468623970514e-150,AAPL,Broad_tech,stock,CAPM,,,,,,,,,
1315,0.5751635832080308,6.666709508611565e-06,0.0016800107961701142,0.0003341632569640418,0.984082894706155,1.1490792961109835,0.04640525808993495,2.3118720399261794e-135,AAPL,Broad_tech,stock,FF3,-0.2762500183452373,0.05138948840879099,7.632243180164266e-08,-0.25502341725243505,0.040704088512095504,3.7210294727336883e-10,,,
1315,0.5771640752406717,1.952528488814118e-05,0.004920371791811578,0.00033369738002714586,0.9533408429515798,1.1466986401991826,0.04519539382201765,5.1360440824009535e-142,AAPL,Broad_tech,stock,Carhart4,-0.29620188467840336,0.052992728058383336,2.2774834167445318e-08,-0.2500242034445485,0.042953039947147824,5.854093518909334e-09,-0.0736197802588679,0.037225641097803956,0.047966715086129236
1315,0.34516651964655487,0.00011418549087511094,0.028774743700527957,0.00032735010017939653,0.7272262160352498,0.7840112154854306,0.034148183466220436,1.1955088120043413e-116,CSCO,Broad_tech,stock,CAPM,,,,,,,,,
1315,0.3577841106317161,5.175677347799503e-06,0.0013042706916454748,0.0003275757902919488,0.987393997483772,0.862221648725378,0.037171079099476347,4.992742800693434e-119,CSCO,Broad_tech,stock,FF3,-0.14494975203064317,0.049585238500257346,0.0034640492016785296,0.15493334699126518,0.03713524927811733,3.0175612016068675e-05,,,
1315,0.35784525218638574,3.26555706613243e-06,0.0008229203806653723,0.00032768181429934017,0.9920487060167361,0.8625752912562453,0.03733880329559731,4.491650007485186e-118,CSCO,Broad_tech,stock,Carhart4,-0.14198593501256063,0.04940451579910266,0.004053776318571325,0.1541907219799789,0.037302755244085474,3.5728933595306044e-05,0.010936097603863597,0.035943670799587414,0.7609324379059718
1315,0.26130347585391667,-0.0006762793307277149,-0.17042239134338413,0.0007282012850029085,0.35304543690703716,1.4032523967905701,0.07859550946697197,2.685561726101938e-71,INTC,Broad_tech,stock,CAPM,,,,,,,,,
1315,0.2640648132297714,-0.0007446936789581289,-0.18766280709744848,0.0007230462871563987,0.30303857077746,1.4439648079648846,0.08699953080756141,7.2792503496503375e-62,INTC,Broad_tech,stock,FF3,0.04696569982624304,0.11543119118590443,0.6841021278400223,0.17637331238467968,0.08771008277380112,0.044339505191086544,,,
1315,0.26416940319351967,-0.0007498328460589999,-0.18895787720686796,0.0007251316454228251,0.3011060407409235,1.4449162810619294,0.08760277386878168,4.055092818376602e-61,INTC,Broad_tech,stock,Carhart4,0.05493983164334049,0.12239202468990107,0.6535152795477618,0.17437528426940083,0.08736240582443394,0.04593401967677999,0.029423504665031824,0.07450896505902267,0.692917538250475
1315,0.45316309585266423,-0.0003292419139955174,-0.08296896232687037,0.0003949152239448923,0.40444849985462183,1.18137636729716,0.048504853380807685,5.02776267633312e-131,TXN,Broad_tech,stock,CAPM,,,,,,,,,
1315,0.4544172997565512,-0.00032597587347822535,-0.08214592011651278,0.00039411498991848105,0.40817554481754115,1.174171389096683,0.053767096908057886,1.008570897805637e-105,TXN,Broad_tech,stock,FF3,0.08444087589737537,0.061678747379687794,0.17098574005869305,0.04131239691840561,0.04809643914885889,0.390368555111513,,,
1315,0.4546727264429643,-0.0003208416037623896,-0.08085208414812219,0.00039398092541857087,0.4154397679343269,1.1732208227087906,0.053301971678559774,2.2678450891587192e-107,TXN,Broad_tech,stock,Carhart4,0.07647434305320575,0.06346710718260762,0.22822472001084593,0.04330852100677452,0.05002272014561402,0.38661245978532455,-0.02939546544765448,0.04805449089939104,0.5407289171383305
1315,0.48551213608113564,-0.0007211890862639841,-0.181739649738524,0.0004467587091404571,0.1064689204898062,1.4994685306396658,0.04837968137294781,6.540861911148164e-211,QCOM,Broad_tech,stock,CAPM,,,,,,,,,
1315,0.4904554892681996,-0.0006167577231109287,-0.15542294622395403,0.0004492913284732079,0.16983488870996444,1.4279941649131673,0.050725717299337246,2.3110868818245847e-174,QCOM,Broad_tech,stock,FF3,0.08200237382267703,0.06351290685931645,0.19666431066889944,-0.1810478465749908,0.060362009212330134,0.0027054079811145854,,,
1315,0.4905534131775039,-0.0006128595042758264,-0.15444059507750824,0.00044935647463203613,0.17261150406508108,1.4272724428373027,0.05075035642056522,5.070357612440796e-174,QCOM,Broad_tech,stock,Carhart4,0.07595374566269301,0.06473659737384038,0.24068607450433266,-0.17953227981490835,0.06119012223543733,0.0033461608309134296,-0.022318647717951973,0.057409007268178415,0.6974495429108201
1315,0.44441435016831643,-0.0004951092662138052,-0.12476753508587891,0.000481323823169166,0.3036485531038958,1.330253808555109,0.055714508463172704,5.4060794210679226e-126,INTU,Broad_tech,stock,CAPM,,,,,,,,,
1315,0.49084648738424774,-0.00027788162254168867,-0.07002616888050554,0.0004654592003922553,0.5505038234752271,1.1980158962602132,0.05735117202182293,6.72376953536577e-97,INTU,Broad_tech,stock,FF3,-0.10021243205188538,0.06941211890679704,0.14881464071660305,-0.531954350674721,0.05598082025513825,2.05030065505363e-21,,,
1315,0.5077623689009471,-0.00023037301245710577,-0.058053999139190654,0.0004598783330998064,0.6164109624060625,1.1892200810069462,0.058980237727381035,2.068364259007223e-90,INTU,Broad_tech,stock,Carhart4,-0.17392864167062805,0.07482254342438953,0.02009610774729102,-0.5134837431216578,0.054689169372633746,6.049765257077223e-21,-0.272003183212352,0.058327093647565935,3.1101142281709385e-06
1315,0.37837345200391415,-0.0006335804223837253,-0.15966226644069878,0.0003755188338208805,0.09156231852169533,0.954011120313542,0.03698229681978426,9.724623149719893e-147,ACN,Broad_tech,stock,CAPM,,,,,,,,,
1315,0.3785732932808149,-0.0006356875706048907,-0.16019326779243245,0.0003714984879765115,0.08705445295222425,0.957230081890912,0.041196768596813454,1.9909862475735744e-119,ACN,Broad_tech,stock,FF3,-0.030927798101697844,0.06092785910344955,0.6117244869121705,-0.013141742924362404,0.047425370132620576,0.7817005231533922,,,
1315,0.41103032812009377,-0.0005845391694350855,-0.14730387069764153,0.0003624073089696882,0.10675878816711963,0.9477603902626353,0.04121945727504814,5.47274343152906e-117,ACN,Broad_tech,stock,Carhart4,-0.11029164931896987,0.05914727057164933,0.06222409778978263,0.006743958705109496,0.049632933435699966,0.8919187633186777,-0.29284224290339533,0.04718291769808274,5.416692869660171e-10
1315,0.2585659540860503,0.0001866422483992294,0.04703384659660581,0.0005880784284979888,0.7509579686877248,1.1807169357788767,0.042687909636421995,2.1582469533014307e-168,PANW,Broad_tech,stock,CAPM,,,,,,,,,
1315,0.3004503009203374,0.00044344473205472986,0.11174807247779192,0.0005676621012453842,0.43469823885229986,1.020660595418188,0.04820777061002636,1.7262377977073454e-99,PANW,Broad_tech,stock,FF3,-0.05706372249858208,0.092166970916278,0.5358279641661301,-0.5936365682264668,0.063445227896003,8.228308309674063e-21,,,
